"","Title","Artist.Display.Name","Object.End.Date","Museum"
"1","Plaque Portrait of Benjamin Franklin","Louis Benjamin Huber Defeuille",1883,"Met"
"2","Plaque Portrait of Benjamin Franklin","Jacques Thouron|Weyller",1883,"Met"
"3","Plaque Portrait of Benjamin Franklin","Jacques Thouron",1883,"Met"
"4","Plaque Portrait of Benjamin Franklin","Jacques Thouron",1883,"Met"
"5","Plaque Portrait of Benjamin Franklin","",1883,"Met"
"6","Plaque Portrait of Benjamin Franklin","Jean-Baptiste Nini",1883,"Met"
"7","Portrait of Benjamin Franklin","",1883,"Met"
"8","Plaque Portrait of Benjamin Franklin","",1883,"Met"
"9","Plaque Portrait of Benjamin Franklin","",1883,"Met"
"10","Portrait of Benjamin Franklin","",1883,"Met"
"11","Portrait of Benjamin Franklin","",1883,"Met"
"12","Medallion of Benjamin Franklin","",1883,"Met"
"13","Portrait of Benjamin Franklin","H. Sanford",1883,"Met"
"14","Portrait of Benjamin Franklin","",1883,"Met"
"15","Portrait Miniature of Benjamin Franklin","Jacques Thouron",1883,"Met"
"16","Portrait of Benjamin Franklin","",1883,"Met"
"17","Portrait Miniature of the Marquis de Lafayette","",1800,"Met"
"18","Box","",1883,"Met"
"19","Coach Painter's Sign","J. Mason",1810,"Met"
"20","Portrait Miniature of the Marquis de Lafayette","",1800,"Met"
"21","Lover's Eye","Emily Drayton Taylor|Edward Greene Malbone",1930,"Met"
"22","Eye of Maria Miles Hayward","Edward Greene Malbone|Emily Drayton Taylor",1930,"Met"
"23","Panel of George Washington","William P. Babcock",1883,"Met"
"24","Plaque of George Washington","",1830,"Met"
"25","Plaque of George Washington","Gilbert Stuart",1830,"Met"
"26","Portrait of George Washington","",1830,"Met"
"27","Portrait Miniature of the Marquis de Lafayette","",1883,"Met"
"28","Portrait Miniature of the Marquis de Lafayette","",1883,"Met"
"29","Portrait Miniature of the Marquis de Lafayette","",1883,"Met"
"30","Portrait Miniature of the Marquis de Lafayette","",1883,"Met"
"31","Apple Blossoms","Charles Caryl Coleman",1889,"Met"
"32","Plaque of George Washington","",1800,"Met"
"33","Janet Halleck Drake","Henry Inman",1825,"Met"
"34","Snuffbox","Jean-Paul Guerin",1883,"Met"
"35","Tavern Sign","",1805,"Met"
"36","Orange Branch","John La Farge",1883,"Met"
"37","Pasture at Evening","Albert Pinkham Ryder",1931,"Met"
"38","""King Lear,"" Act I, Scene I","Edwin Austin Abbey",1898,"Met"
"39","Leete Farm, West Claremont, New Hampshire","Francis Alexander",1822,"Met"
"40","In the Laboratory","Henry Alexander",1887,"Met"
"41","Geraldine Russell","John White Alexander",1903,"Met"
"42","Repose","John White Alexander",1895,"Met"
"43","The Ring","John White Alexander",1911,"Met"
"44","Study in Black and Green","John White Alexander",1906,"Met"
"45","Walt Whitman","John White Alexander",1889,"Met"
"46","The Spanish Girl in Reverie","Washington Allston",1831,"Met"
"47","A Study from Life [and] Study for Angel Releasing Saint Peter from Prison","Washington Allston",1815,"Met"
"48","Maurice Levy","Ezra Ames",1825,"Met"
"49","Philip Van Cortlandt","Ezra Ames",1810,"Met"
"50","James Topham Brady","Joseph Alexander Ames",1869,"Met"
"51","The Children of Nathan Starr","Ambrose Andrews",1835,"Met"
"52","The Way They Live","Thomas Anshutz",1879,"Met"
"53","Hudson's Bay Lemming","John Woodhouse Audubon",1846,"Met"
"54","Benjamin Franklin","William P. Babcock|Louis de Carmontelle",1876,"Met"
"55","Portrait of Benjamin Franklin","William P. Babcock",1880,"Met"
"56","Portrait of the Marquis de Lafayette","William P. Babcock|Jules Guerin|Louis Philibert Debucourt",1880,"Met"
"57","James Badger","Joseph Badger",1760,"Met"
"58","New York Harbor with Brooklyn Bridge","G. Baker",1879,"Met"
"59","Elizabeth Humphrey","Martha Susan Baker",1899,"Met"
"60","John F. Kensett","George Augustus Baker Jr.",1875,"Met"
"61","Mrs. William Loring Andrews","George Augustus Baker Jr.",1863,"Met"
"62","American Eagle on Red Scroll","W. H. Bean",1900,"Met"
"63","Ernesta","Cecilia Beaux",1914,"Met"
"64","Ernesta (Child with Nurse)","Cecilia Beaux",1894,"Met"
"65","Mr. and Mrs. Anson Phelps Stokes","Cecilia Beaux",1898,"Met"
"66","Mrs. Beckington","Alice Beckington",1913,"Met"
"67","Miss T.","Alice Beckington",1898,"Met"
"68","Lake of Orta","J. Carroll Beckwith",1911,"Met"
"69","Laura Newell Veissi","Clara Louise Bell",1925,"Met"
"70","Elizabeth Ann Timothy","Henry Benbridge",1785,"Met"
"71","Mrs. Benjamin Simons","Henry Benbridge",1776,"Met"
"72","Mrs. Clark","",1773,"Met"
"73","Portrait of a Gentleman","Henry Benbridge",1772,"Met"
"74","Portrait of a Gentleman","Henry Benbridge",1780,"Met"
"75","Children in Woods","Frank W. Benson",1905,"Met"
"76","Portrait of a Lady","Frank W. Benson",1901,"Met"
"77","Two Boys","Frank W. Benson",1926,"Met"
"78","Canadian Rockies (Lake Louise)","Albert Bierstadt",1889,"Met"
"79","Merced River, Yosemite Valley","Albert Bierstadt",1866,"Met"
"80","Mountain Scene","Albert Bierstadt",1890,"Met"
"81","Nevada Falls, Yosemite","Albert Bierstadt",1873,"Met"
"82","The Rocky Mountains, Lander's Peak","Albert Bierstadt",1863,"Met"
"83","Sea Cove","Albert Bierstadt",1890,"Met"
"84","Study of a Tree","Albert Bierstadt",1864,"Met"
"85","Sunrise on the Matterhorn","Albert Bierstadt",1885,"Met"
"86","Fur Traders Descending the Missouri","George Caleb Bingham",1845,"Met"
"87","Bishop William White","William Russell Birch",1825,"Met"
"88","Brock Livingston Delaplaine","William Russell Birch",1817,"Met"
"89","Daniel Webster","William Russell Birch",1832,"Met"
"90","Mary Birch","William Russell Birch",1785,"Met"
"91","Mary Sylvester","Joseph Blackburn",1754,"Met"
"92","Mrs. David Chesebrough","Joseph Blackburn",1754,"Met"
"93","Mrs. Samuel Cutts","Joseph Blackburn",1763,"Met"
"94","Samuel Cutts","Joseph Blackburn",1763,"Met"
"95","The Boulder and the Flume","Ralph Albert Blakelock",1878,"Met"
"96","An Indian Encampment","Ralph Albert Blakelock",1900,"Met"
"97","Landscape","Ralph Albert Blakelock",1895,"Met"
"98","The Pipe Dance","Ralph Albert Blakelock",1900,"Met"
"99","A Waterfall, Moonlight","Ralph Albert Blakelock",1886,"Met"
"100","Design for the Washington Centennial Celebration, Souvenir","Edwin Howland Blashfield",1889,"Met"
"101","Luigi Palma di Cesnola","Jacob D. Blondel",1865,"Met"
"102","The Ameya","Robert Frederick Blum",1893,"Met"
"103","View from the Artist's Window, Grove Street","Robert Frederick Blum",1900,"Met"
"104","Corn Husking","David Gilmour Blythe",1864,"Met"
"105","The Ivory Fan","Rosina Cox Boardman",1927,"Met"
"106","Self-Portrait","Rosina Cox Boardman",1921,"Met"
"107","Seventh Regiment on Review, Washington Square, New York","Otto Boetticher",1851,"Met"
"108","Chale, Isle of Wight, Looking Towards the Needles","George H. Bogert",1900,"Met"
"109","September Evening","George H. Bogert",1898,"Met"
"110","On the Thames","Frank Myers Boggs",1883,"Met"
"111","An Arctic Summer: Boring Through the Pack in Melville Bay","William Bradford",1871,"Met"
"112","Shipwreck off Nantucket (Wreck off Nantucket after a Storm)","William Bradford",1861,"Met"
"113","Emma Homan","John Bradley",1844,"Met"
"114","Marine Landscape","Alfred Thompson Bricher",1895,"Met"
"115","Captain Graham","Andrew Robertson",1805,"Met"
"116","Carolyn Mishner","Hugh Bridport",1825,"Met"
"117","Joel Roberts Poinsett","Hugh Bridport",1843,"Met"
"118","View at Amalfi, Bay of Salerno","George Loring Brown",1857,"Met"
"119","Meditation","John George Brown",1910,"Met"
"120","The Music Lesson","John George Brown",1870,"Met"
